entity,id,name,city,ceilingHeightM,usableLengthM,usableWidthM,wingspanMm,modelWeightG,wingAreaDm2,manufacturer,widthMm,thicknessMm,purchaseDate,batchId,loopLengthMm,motorWeightG,strands,lubricant,date,venueId,modelId,motorId,turnsLoaded,backOff,durationSec,maxAltitudeM,touchedCeiling,timeToCeilingSec,ceilingContactDurationSec,secondClimb,secondCeilingTouch,secondCeilingTimeSec,secondCeilingContactDurationSec,turnPattern,climb,stability,landing,propType,rpmVisual,rpmInitial,rpmMid,rpmFinal,rpmTrend,rpmSamples,maxPitchMm,minPitchMm,springHardness,vpTransitionObserved,vpMechanismMode,vpTransitionTimeSec,rpmBeforeVpTransition,rpmAfterVpTransition,launchTorque,descentStartSec,descentStartTorque,turnsAtDescentStart,remainingTurns,notes
motor,motor-145-445,Motor 1.45g 445mm,,,,,,,,,,,,batch-tss-2026-a,445,1.45,1,Silicona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cerca del límite práctico. Baseline competitivo simulado.
motor,motor-148-450,Motor 1.48g 450mm,,,,,,,,,,,,batch-tss-2026-a,450,1.48,1,Silicona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Motor legal F1M cercano al máximo; puede tocar techo bajo.
motor,motor-148-470,Motor 1.48g 470mm,,,,,,,,,,,,batch-tss-2026-b,470,1.48,1,Silicona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Motor largo/fino para descarga suave.
motor,motor-149-500,Motor 1.49g 500mm,,,,,,,,,,,,batch-tss-2026-b,500,1.49,1,Silicona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muy largo/fino; puede dejar vueltas remanentes si falta torque.
motor,motor-150-420,Motor 1.50g 420mm,,,,,,,,,,,,batch-tss-2026-c,420,1.5,1,Silicona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Límite F1M. Alto torque; probar solo con cuidado.
motor,motor-151-420-ilegal,Motor 1.51g 420mm ILEGAL,,,,,,,,,,,,batch-tss-2026-c,420,1.51,1,Silicona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caso para probar alerta de reglamento: excede 1.5 g.
motor,motor-136-460,Motor 1.36g 460mm,,,,,,,,,,,,batch-tss-2026-b,460,1.36,1,Silicona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Motor liviano y largo; puede sostener suave pero no trepar.
motor,motor-ref-danjo-145-329,Referencia Danjo 1.45g 329mm,,,,,,,,,,,,batch-ref-may99,329,1.45,1,Desconocido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Referencia sintética basada en configuración publicada; no usar como receta directa.
motor,motor-training-120-430,Motor entrenamiento 1.20g 430mm,,,,,,,,,,,,batch-tss-2026-a,430,1.2,1,Silicona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Motor suave para trimado inicial, no competitivo."
flight,flight-001-techo-temprano-rem-alto,Techo temprano + remanente alto,,,,,,,,,,,,,,,,,2026-05-10T10:18:00Z,venue-gimnasio-bajo-85,model-f1m-rojo,motor-148-450,1450,40,265,8.5,light,38,14,false,false,,,left,too_aggressive,stable,soft,variable_pitch,fast,5200,3800,2500,fast_decay,"[{""timeSec"": 0, ""rpm"": 5200, ""note"": ""lanzamiento""}, {""timeSec"": 38, ""rpm"": 4750, ""note"": ""primer techo""}, {""timeSec"": 130, ""rpm"": 3500, ""note"": ""medio""}, {""timeSec"": 265, ""rpm"": 2500, ""note"": ""final""}]",620,430,5,normal,unknown,75,4300,3600,0.58,205,0.11,420,280,Toca techo temprano y aterriza con 19.9% de vueltas netas remanentes. Debe priorizar control inicial.
flight,flight-002-techo-temprano-rem-bajo,Techo temprano + remanente bajo,,,,,,,,,,,,,,,,,2026-05-10T10:36:00Z,venue-gimnasio-bajo-85,model-f1m-azul,motor-145-445,1380,70,305,8.5,light,62,5,false,false,,,left,too_aggressive,stable,soft,variable_pitch,normal,4700,3100,1800,fast_decay,"[{""timeSec"": 0, ""rpm"": 4700, ""note"": ""lanzamiento""}, {""timeSec"": 62, ""rpm"": 3900, ""note"": ""techo suave""}, {""timeSec"": 180, ""rpm"": 2600, ""note"": ""medio""}, {""timeSec"": 305, ""rpm"": 1800, ""note"": ""final""}]",650,440,5,normal,known,90,3600,3000,0.49,235,0.08,150,95,"Toca techo pero queda solo 7.3% de remanente. Está cerca, ajuste fino de distribución inicial."
flight,flight-003-rem-alto-rpm-lenta,Remanente alto + RPM final lenta,,,,,,,,,,,,,,,,,2026-05-10T10:54:00Z,venue-gimnasio-bajo-85,model-f1m-azul,motor-142-430,1200,100,230,4.8,false,,0,false,false,,,left,low,stable,prop_still_turning,variable_pitch,slow,3600,2100,1150,fast_decay,"[{""timeSec"": 0, ""rpm"": 3600, ""note"": ""lanzamiento""}, {""timeSec"": 115, ""rpm"": 2100, ""note"": ""medio""}, {""timeSec"": 230, ""rpm"": 1150, ""note"": ""final""}]",620,470,5,late,known,150,2300,1750,0.36,160,0.07,300,260,"No usa techo, cae con muchas vueltas y RPM final lenta. Debe sospechar paso mínimo alto o fricción antes que motor."
flight,flight-004-rem-alto-rpm-rapida,Remanente alto + RPM final rápida,,,,,,,,,,,,,,,,,2026-05-10T11:12:00Z,venue-gimnasio-bajo-85,model-f1m-azul,motor-142-430,1240,90,245,5.2,false,,0,false,false,,,left,low,stable,prop_still_turning,variable_pitch,fast,4600,4100,3600,slow_decay,"[{""timeSec"": 0, ""rpm"": 4600, ""note"": ""lanzamiento""}, {""timeSec"": 120, ""rpm"": 4100, ""note"": ""medio""}, {""timeSec"": 245, ""rpm"": 3600, ""note"": ""final""}]",600,360,4,early,known,70,4300,4000,0.39,168,0.08,340,275,"No usa techo, remanente alto y RPM final alta: hélice descarga sin empuje. Subir paso mínimo."
flight,flight-005-rem-alto-rpm-normal,Remanente alto + RPM normal estable,,,,,,,,,,,,,,,,,2026-05-10T11:30:00Z,venue-galpon-medio-12,model-f1m-azul,motor-149-500,1500,120,390,7.0,false,,0,false,false,,,left,low,stable,soft,variable_pitch,normal,4200,3000,2200,slow_decay,"[{""timeSec"": 0, ""rpm"": 4200, ""note"": ""lanzamiento""}, {""timeSec"": 200, ""rpm"": 3000, ""note"": ""medio""}, {""timeSec"": 390, ""rpm"": 2200, ""note"": ""final""}]",650,430,5,normal,known,140,3300,2800,0.42,300,0.08,410,310,"Motor largo/fino: remanente alto, rpm normal, estable y no usa techo. Conviene acortar motor manteniendo masa."
flight,flight-006-no-techo-rem-bajo-no-altura,No usa techo + remanente bajo,,,,,,,,,,,,,,,,,2026-05-10T11:48:00Z,venue-galpon-medio-12,model-f1m-verde,motor-136-460,1200,160,205,5.4,false,,0,false,false,,,left,low,stable,falls_without_energy,variable_pitch,normal,3900,2200,900,fast_decay,"[{""timeSec"": 0, ""rpm"": 3900, ""note"": ""lanzamiento""}, {""timeSec"": 100, ""rpm"": 2200, ""note"": ""medio""}, {""timeSec"": 205, ""rpm"": 900, ""note"": ""final""}]",640,430,5,normal,known,90,2800,2200,0.33,150,0.04,80,70,No usa techo y no sobra motor; falta energía útil o el modelo está pesado. Cambiar energía inicial.
flight,flight-007-baseline-ideal-1,Baseline ideal 1,,,,,,,,,,,,,,,,,2026-05-10T12:06:00Z,venue-galpon-medio-12,model-f1m-azul,motor-145-445,1500,110,520,10.2,false,,0,false,false,,,left,correct,stable,soft,variable_pitch,normal,4400,2850,1850,slow_decay,"[{""timeSec"": 0, ""rpm"": 4400, ""note"": ""lanzamiento""}, {""timeSec"": 180, ""rpm"": 3300, ""note"": ""ascenso""}, {""timeSec"": 360, ""rpm"": 2450, ""note"": ""medio""}, {""timeSec"": 520, ""rpm"": 1850, ""note"": ""final""}]",660,430,5,normal,known,165,3100,2600,0.46,410,0.06,170,95,"Vuelo cerca del óptimo: usa 85% de techo, estable, remanente 6.8%. Debe repetir."
flight,flight-008-baseline-ideal-2,Baseline ideal 2 repetición,,,,,,,,,,,,,,,,,2026-05-10T12:24:00Z,venue-galpon-medio-12,model-f1m-azul,motor-145-445,1505,110,528,10.5,false,,0,false,false,,,left,correct,stable,soft,variable_pitch,normal,4450,2870,1820,slow_decay,"[{""timeSec"": 0, ""rpm"": 4450, ""note"": ""lanzamiento""}, {""timeSec"": 180, ""rpm"": 3340, ""note"": ""ascenso""}, {""timeSec"": 365, ""rpm"": 2410, ""note"": ""medio""}, {""timeSec"": 528, ""rpm"": 1820, ""note"": ""final""}]",660,430,5,normal,known,168,3130,2580,0.46,418,0.06,165,92,"Repetición del baseline. Si se confirma, microvariar +2% vueltas o -20 back-off."
flight,flight-009-inestable-rem-alto,Vuelo inestable + remanente alto,,,,,,,,,,,,,,,,,2026-05-10T12:42:00Z,venue-gimnasio-bajo-85,model-f1m-rojo,motor-142-430,1280,80,180,4.2,false,,0,false,false,,,irregular,low,unstable,hard,variable_pitch,normal,4100,2800,2100,slow_decay,"[{""timeSec"": 0, ""rpm"": 4100, ""note"": ""lanzamiento""}, {""timeSec"": 90, ""rpm"": 2800, ""note"": ""zigzag""}, {""timeSec"": 180, ""rpm"": 2100, ""note"": ""final""}]",620,430,5,normal,known,75,3400,2800,0.4,120,0.07,300,250,No optimizar goma: vuelo irregular y pérdida de energía por trimado.
flight,flight-010-vp-caida-brusca-temprana,RPM cae bruscamente por transición VP temprana,,,,,,,,,,,,,,,,,2026-05-10T13:00:00Z,venue-galpon-medio-12,model-f1m-vp-test,motor-145-445,1460,100,360,7.8,false,,0,false,false,,,left,correct,stable,soft,variable_pitch,normal,4500,2100,1700,sudden_drop,"[{""timeSec"": 0, ""rpm"": 4500, ""note"": ""lanzamiento""}, {""timeSec"": 80, ""rpm"": 4200, ""note"": ""antes transición""}, {""timeSec"": 95, ""rpm"": 2500, ""note"": ""después transición""}, {""timeSec"": 220, ""rpm"": 2000, ""note"": ""medio""}, {""timeSec"": 360, ""rpm"": 1700, ""note"": ""final""}]",640,410,2,early,known,95,4200,2500,0.45,260,0.06,230,160,La RPM cae mucho cuando cambia el VP. Transición demasiado temprana: retrasar transición/resorte.
flight,flight-011-vp-transicion-tardia,VP cambia tarde + remanente alto,,,,,,,,,,,,,,,,,2026-05-10T13:18:00Z,venue-galpon-medio-12,model-f1m-vp-test,motor-145-445,1480,90,330,6.5,false,,0,false,false,,,left,low,stable,prop_still_turning,variable_pitch,slow,3900,2300,1250,fast_decay,"[{""timeSec"": 0, ""rpm"": 3900, ""note"": ""lanzamiento""}, {""timeSec"": 180, ""rpm"": 2500, ""note"": ""sin transición""}, {""timeSec"": 240, ""rpm"": 2000, ""note"": ""cambio tardío""}, {""timeSec"": 330, ""rpm"": 1250, ""note"": ""final""}]",680,460,7,late,known,240,2300,1900,0.42,230,0.07,390,300,El VP cambia tarde; queda mucha vuelta y rpm lenta. Facilitar transición o bajar minPitch.
flight,flight-012-vp-mecanismo-desconocido,VP mecanismo desconocido,,,,,,,,,,,,,,,,,2026-05-10T13:36:00Z,venue-gimnasio-bajo-85,model-f1m-vp-test,motor-148-450,1420,70,250,8.4,light,48,8,false,false,,,left,too_aggressive,stable,soft,variable_pitch,fast,5000,3500,2400,fast_decay,"[{""timeSec"": 0, ""rpm"": 5000, ""note"": ""lanzamiento""}, {""timeSec"": 48, ""rpm"": 4500, ""note"": ""techo""}, {""timeSec"": 140, ""rpm"": 3200, ""note"": ""medio""}, {""timeSec"": 250, ""rpm"": 2400, ""note"": ""final""}]",620,430,5,unknown,unknown,,,,0.55,190,0.09,320,240,No recomendar dureza de resorte: el sentido VP está desconocido. Mejor back-off/maxPitch.
flight,flight-013-helice-fija-rem-alto,Hélice fija + remanente alto,,,,,,,,,,,,,,,,,2026-05-10T13:54:00Z,venue-galpon-medio-12,model-f1m-fija,motor-149-500,1420,100,300,6.2,false,,0,false,false,,,left,low,stable,prop_still_turning,fixed,slow,3300,1900,1050,fast_decay,"[{""timeSec"": 0, ""rpm"": 3300, ""note"": ""lanzamiento""}, {""timeSec"": 150, ""rpm"": 1900, ""note"": ""medio""}, {""timeSec"": 300, ""rpm"": 1050, ""note"": ""final""}]",,,,,,,,,0.37,210,0.07,330,295,Hélice fija y rpm lenta; sospechar hélice demasiado cargada/fricción. No hay minPitch que ajustar.
flight,flight-014-helice-fija-rpm-rapida,Hélice fija RPM rápida sin sustentación,,,,,,,,,,,,,,,,,2026-05-10T14:12:00Z,venue-galpon-medio-12,model-f1m-fija,motor-142-430,1300,80,250,5.9,false,,0,false,false,,,left,low,stable,prop_still_turning,fixed,fast,5200,4300,3600,slow_decay,"[{""timeSec"": 0, ""rpm"": 5200, ""note"": ""lanzamiento""}, {""timeSec"": 120, ""rpm"": 4300, ""note"": ""medio""}, {""timeSec"": 250, ""rpm"": 3600, ""note"": ""final""}]",,,,,,,,,0.41,170,0.08,310,260,Hélice fija gira rápido pero no sostiene: hélice descargada. Probar mayor paso/diámetro.
flight,flight-015-motor-ilegal-alerta,Motor ilegal >1.5g,,,,,,,,,,,,,,,,,2026-05-10T14:30:00Z,venue-hangar-alto-18,model-f1m-rojo,motor-151-420-ilegal,1650,90,600,16.0,false,,0,false,false,,,left,correct,stable,soft,variable_pitch,normal,4700,3000,1900,slow_decay,"[{""timeSec"": 0, ""rpm"": 4700, ""note"": ""lanzamiento""}, {""timeSec"": 250, ""rpm"": 3000, ""note"": ""medio""}, {""timeSec"": 600, ""rpm"": 1900, ""note"": ""final""}]",680,430,5,normal,known,210,3300,2700,0.52,500,0.07,130,80,Debe activar alerta de reglamento por motor 1.51 g aunque el vuelo sea bueno.
flight,flight-016-techo-alto-falta-torque,Techo alto no usado por falta de torque,,,,,,,,,,,,,,,,,2026-05-10T14:48:00Z,venue-hangar-alto-18,model-f1m-verde,motor-136-460,1250,120,260,7.2,false,,0,false,false,,,left,low,stable,falls_without_energy,variable_pitch,normal,3700,2100,900,fast_decay,"[{""timeSec"": 0, ""rpm"": 3700, ""note"": ""lanzamiento""}, {""timeSec"": 130, ""rpm"": 2100, ""note"": ""medio""}, {""timeSec"": 260, ""rpm"": 900, ""note"": ""final""}]",660,430,5,normal,known,100,2500,2000,0.32,190,0.04,70,60,"Techo alto, modelo pesado, motor suave. Requiere más torque útil."
flight,flight-017-techo-alto-buen-ascenso,Techo alto buen ascenso,,,,,,,,,,,,,,,,,2026-05-10T15:06:00Z,venue-hangar-alto-18,model-f1m-rojo,motor-150-420,1700,140,710,15.8,false,,0,false,false,,,left,correct,stable,soft,variable_pitch,normal,4800,2900,1750,slow_decay,"[{""timeSec"": 0, ""rpm"": 4800, ""note"": ""lanzamiento""}, {""timeSec"": 300, ""rpm"": 3200, ""note"": ""ascenso""}, {""timeSec"": 500, ""rpm"": 2400, ""note"": ""medio""}, {""timeSec"": 710, ""rpm"": 1750, ""note"": ""final""}]",700,430,6,normal,known,240,3400,2800,0.55,570,0.06,190,115,"Buen uso de techo alto, remanente razonable. Repetir o microajustar."
flight,flight-018-segundo-ascenso-techo,Segundo ascenso y toque de techo,,,,,,,,,,,,,,,,,2026-05-10T15:24:00Z,venue-gimnasio-bajo-85,model-f1m-rojo,motor-148-450,1520,60,340,8.5,light,45,4,true,true,190,8,left,too_aggressive,stable,soft,variable_pitch,fast,5000,3700,2300,fast_decay,"[{""timeSec"": 0, ""rpm"": 5000, ""note"": ""lanzamiento""}, {""timeSec"": 45, ""rpm"": 4600, ""note"": ""primer techo""}, {""timeSec"": 190, ""rpm"": 3300, ""note"": ""segundo techo""}, {""timeSec"": 340, ""rpm"": 2300, ""note"": ""final""}]",620,390,3,early,known,65,4300,3900,0.56,280,0.09,280,210,Segundo ascenso indica transición o paso mínimo demasiado agresivo/descargado. Controlar fase media.
flight,flight-019-caida-sin-vueltas,Cae sin vueltas,,,,,,,,,,,,,,,,,2026-05-10T15:42:00Z,venue-galpon-medio-12,model-f1m-azul,motor-132-390,1300,40,210,8.0,false,,0,false,false,,,left,correct,stable,falls_without_energy,variable_pitch,normal,4700,2300,500,fast_decay,"[{""timeSec"": 0, ""rpm"": 4700, ""note"": ""lanzamiento""}, {""timeSec"": 90, ""rpm"": 3000, ""note"": ""ascenso""}, {""timeSec"": 160, ""rpm"": 1500, ""note"": ""medio""}, {""timeSec"": 210, ""rpm"": 500, ""note"": ""final""}]",620,430,5,normal,known,75,3000,2400,0.5,165,0.03,25,10,Motor demasiado corto/agresivo o pocas vueltas para duración. Alargar motor o aumentar vueltas conservadoramente.
flight,flight-020-friccion-sospechada,Fricción sospechada,,,,,,,,,,,,,,,,,2026-05-10T16:00:00Z,venue-galpon-medio-12,model-f1m-vp-test,motor-145-445,1450,100,240,5.8,false,,0,false,false,,,left,low,stable,prop_still_turning,variable_pitch,slow,3500,1600,700,sudden_drop,"[{""timeSec"": 0, ""rpm"": 3500, ""note"": ""lanzamiento""}, {""timeSec"": 80, ""rpm"": 3000, ""note"": ""normal""}, {""timeSec"": 120, ""rpm"": 1400, ""note"": ""caída súbita""}, {""timeSec"": 240, ""rpm"": 700, ""note"": ""final""}]",640,430,5,not_observed,known,,,,0.43,150,0.06,420,360,RPM cae sin transición VP observada; revisar fricción/eje/hub antes de tocar goma.
flight,flight-021-datos-incompletos,Datos incompletos,,,,,,,,,,,,,,,,,2026-05-10T16:18:00Z,venue-gimnasio-bajo-85,model-f1m-azul,motor-145-445,1400,100,300,7.4,false,,0,false,false,,,left,correct,stable,soft,variable_pitch,unknown,,,,unknown,,650,430,5,unknown,unknown,,,,,,,,,"Faltan RPM, remanentes y torque. Debe pedir recolección de datos, no optimizar."
flight,flight-022-pared-deriva,Deriva / ambiente,,,,,,,,,,,,,,,,,2026-05-10T16:36:00Z,venue-salon-chico-72,model-f1m-rojo,motor-138-410,1250,90,145,5.7,false,,0,false,false,,,irregular,correct,drifting,hard,variable_pitch,normal,4100,3000,2200,slow_decay,"[{""timeSec"": 0, ""rpm"": 4100, ""note"": ""lanzamiento""}, {""timeSec"": 80, ""rpm"": 3000, ""note"": ""deriva lateral""}, {""timeSec"": 145, ""rpm"": 2200, ""note"": ""golpe lateral""}]",620,430,5,normal,known,90,3300,2850,0.44,120,0.08,280,240,Vuelo interrumpido por deriva/ambiente. No sacar conclusiones de motor.
flight,flight-023-maxpitch-insuficiente,Paso máximo insuficiente,,,,,,,,,,,,,,,,,2026-05-10T16:54:00Z,venue-gimnasio-bajo-85,model-f1m-azul,motor-148-450,1500,90,275,8.5,light,55,10,false,false,,,left,too_aggressive,stable,soft,variable_pitch,fast,5300,3900,2400,fast_decay,"[{""timeSec"": 0, ""rpm"": 5300, ""note"": ""lanzamiento""}, {""timeSec"": 55, ""rpm"": 4700, ""note"": ""techo""}, {""timeSec"": 170, ""rpm"": 3300, ""note"": ""medio""}, {""timeSec"": 275, ""rpm"": 2400, ""note"": ""final""}]",560,430,5,normal,known,70,4600,3800,0.57,220,0.09,360,250,MaxPitch bajo no absorbe torque inicial: aumentar paso máximo.
flight,flight-024-maxpitch-excesivo,Paso máximo excesivo / no trepa,,,,,,,,,,,,,,,,,2026-05-10T17:12:00Z,venue-galpon-medio-12,model-f1m-verde,motor-142-430,1360,80,230,5.2,false,,0,false,false,,,left,low,stable,prop_still_turning,variable_pitch,slow,3200,2000,1300,slow_decay,"[{""timeSec"": 0, ""rpm"": 3200, ""note"": ""lanzamiento""}, {""timeSec"": 110, ""rpm"": 2000, ""note"": ""medio""}, {""timeSec"": 230, ""rpm"": 1300, ""note"": ""final""}]",760,430,5,normal,known,120,2500,2100,0.38,165,0.07,300,245,Paso máximo muy alto carga la hélice y no trepa. Reducir maxPitch antes que motor.
flight,flight-025-minpitch-alto-final,Paso mínimo alto final,,,,,,,,,,,,,,,,,2026-05-10T17:30:00Z,venue-galpon-medio-12,model-f1m-azul,motor-145-445,1460,100,340,8.0,false,,0,false,false,,,left,correct,stable,prop_still_turning,variable_pitch,slow,4200,2300,1050,fast_decay,"[{""timeSec"": 0, ""rpm"": 4200, ""note"": ""lanzamiento""}, {""timeSec"": 170, ""rpm"": 2300, ""note"": ""medio""}, {""timeSec"": 340, ""rpm"": 1050, ""note"": ""final""}]",660,520,5,normal,known,140,3000,2400,0.44,250,0.08,360,280,MinPitch demasiado alto; carga mucho final y deja vueltas.
flight,flight-026-minpitch-bajo-final,Paso mínimo bajo final,,,,,,,,,,,,,,,,,2026-05-10T17:48:00Z,venue-galpon-medio-12,model-f1m-azul,motor-145-445,1460,100,330,7.9,false,,0,false,false,,,left,correct,stable,prop_still_turning,variable_pitch,fast,4400,3950,3600,stable,"[{""timeSec"": 0, ""rpm"": 4400, ""note"": ""lanzamiento""}, {""timeSec"": 170, ""rpm"": 3950, ""note"": ""medio""}, {""timeSec"": 330, ""rpm"": 3600, ""note"": ""final""}]",660,330,5,early,known,80,4300,3900,0.43,250,0.08,330,265,MinPitch demasiado bajo; RPM alta sin sostén.
flight,flight-027-motor-largo-fino-confirmacion,Motor largo/fino confirmación,,,,,,,,,,,,,,,,,2026-05-10T18:06:00Z,venue-hangar-alto-18,model-f1m-azul,motor-149-500,1580,120,430,9.1,false,,0,false,false,,,left,low,stable,soft,variable_pitch,normal,3900,2850,2100,slow_decay,"[{""timeSec"": 0, ""rpm"": 3900, ""note"": ""lanzamiento""}, {""timeSec"": 200, ""rpm"": 2850, ""note"": ""medio""}, {""timeSec"": 430, ""rpm"": 2100, ""note"": ""final""}]",680,430,5,normal,known,160,3100,2600,0.4,350,0.08,460,370,Incluso en techo alto no usa altura y remanente alto. Motor largo/fino.
flight,flight-028-motor-corto-muy-agresivo,Motor corto demasiado agresivo,,,,,,,,,,,,,,,,,2026-05-10T18:24:00Z,venue-gimnasio-bajo-85,model-f1m-rojo,motor-150-420,1600,40,220,8.5,hard,25,20,false,false,,,left,too_aggressive,stable,hard,variable_pitch,fast,5600,3400,1200,fast_decay,"[{""timeSec"": 0, ""rpm"": 5600, ""note"": ""lanzamiento""}, {""timeSec"": 25, ""rpm"": 5200, ""note"": ""techo fuerte""}, {""timeSec"": 120, ""rpm"": 2800, ""note"": ""medio""}, {""timeSec"": 220, ""rpm"": 1200, ""note"": ""final""}]",640,430,5,normal,known,50,4800,3600,0.65,170,0.05,100,55,Motor demasiado agresivo para techo bajo. Aumentar backOff o motor más largo/fino.
flight,flight-029-salon-chico-controlado,Salón chico controlado,,,,,,,,,,,,,,,,,2026-05-10T18:42:00Z,venue-salon-chico-72,model-f1m-azul,motor-148-470,1450,170,380,6.6,false,,0,false,false,,,left,correct,stable,soft,variable_pitch,normal,3950,2600,1650,slow_decay,"[{""timeSec"": 0, ""rpm"": 3950, ""note"": ""lanzamiento""}, {""timeSec"": 180, ""rpm"": 2600, ""note"": ""medio""}, {""timeSec"": 380, ""rpm"": 1650, ""note"": ""final""}]",700,430,5,normal,known,150,2900,2400,0.38,300,0.06,120,85,Vuelo bueno en salón bajo; repetir y luego bajar levemente back-off.
